U1_18RowNumber,Date,Dchoke (mm),WHP (atm),DHGP (atm),DHGP (psi),A-annulus Pres (atm),7x10 Annulus Pressure (atm),10x13 Annulus Pressure (atm),13x18 Annulus Pressure (atm),18x24 Annulus Pressure (atm),24x28 Annulus Pressure (atm),28x32 Annulus Pressure (atm),SSSV Pressure (atm), I-II Choke Pressure  (atm), II-III Choke Pressure  (atm),III Choke Pressure (atm),DHGT (Celcius),III pille Temperature (Celcius)
116,8.30.21 12:00,#N/A,521,674,9899,108,0,113,24,3,0,1,867,250,120,60,102,27
117,8.30.21 14:00,#N/A,521,674,9899,108,0,113,24,3,0,1,867,250,120,59.9,102,27
118,8.30.21 16:00,#N/A,521,674,9898,108,0,114,24,3,0,1,867,250,120,59.8,102,27
119,8.30.21 18:00,#N/A,521,673,9897,109,0,114,24,3,0,1,867,250,120,59.8,102,27
120,8.30.21 20:00,#N/A,521,673,9896,109,0,114,25,3,0,1,871,250,120,59.7,102,27
121,8.30.21 22:00,#N/A,521,673,9896,109,0,114,25,3,0,1,871,250,120,59.7,102,27
122,8.31.21 0:00,#N/A,521,673,9895,109,0,114,25,3,0,1,871,250,120,59.7,102,27
123,8.31.21 2:00,#N/A,521,673,9895,109,0,114,25,3,0,1,867,250,120,59.7,102,27
124,8.31.21 4:00,#N/A,521,673,9894,109,0,115,25,3,0,1,867,250,120,59.6,102,27
125,8.31.21 6:00,#N/A,520,673,9893,110,0,115,25,3,0,1,871,250,120,59.7,102,27
126,8.31.21 8:00,#N/A,520,673,9893,110,0,115,25,3,0,1,871,250,120,59.7,102,27
127,8.31.21 10:00,#N/A,520,673,9892,110,0,115,25,3,0,1,871,250,120,59.7,102,27
128,8.31.21 12:00,#N/A,520,673,9892,110,0,115,25,3,0,1,871,250,120,59.7,102,27
129,8.31.21 14:00,#N/A,520,673,9892,110,0,115,25,3,0,1,871,250,120,59.6,102,27
130,8.31.21 16:00,#N/A,520,673,9891,110,0,115,25,3,0,1,871,250,120,59.6,102,27
131,8.31.21 18:00,#N/A,520,673,9890,110,0,116,25,3,0,1,871,250,120,59.6,102,27
132,8.31.21 20:00,#N/A,520,673,9889,110,0,116,26,3,0,1,871,250,120,59.6,102,27
133,8.31.21 22:00,#N/A,520,673,9889,110,0,116,26,3,0,1,871,250,120,59.6,102,27
134,09.01.21 00:00,#N/A,520,673,9889,110,0,116,26,3,0,1,871,250,120,59.6,102,27
135,09.01.21 02:00,#N/A,520,673,9897,110,0,116,26,3,0,1,871,250,120,59.6,102,27
136,09.01.21 04:00,#N/A,520,673,9897,110,0,116,27,3,0,1,871,250,120,59.6,102,27
137,09.01.21 06:00,#N/A,520,673,9897,110,0,116,27,3,0,1,871,250,120,59.6,102,27
138,09.01.21 08:00,#N/A,520,673,9896,110,0,116,27,3,0,1,871,250,120,59.8,102,27
139,09.01.21 10:00,#N/A,520,673,9896,110,0,116,27,3,0,1,871,250,120,59.9,102,27
140,09.01.21 12:00,#N/A,520,673,9894,110,0,117,27,3,0,1,871,250,120,59.9,102,27
141,09.01.21 14:00,#N/A,520,673,9893,110,0,117,27,3,0,1,871,250,120,59.9,102,27
142,09.01.21 16:00,#N/A,520,673,9891,111,0,117,27,3,0,1,871,250,120,59.9,102,27
143,09.01.21 18:00,#N/A,520,673,9891,111,0,117,27,3,0,1,871,250,120,60,102,27
144,09.01.21 20:00,#N/A,520,673,9888,111,0,117,27,3,0,1,871,250,120,60.1,102,27
145,09.01.21 22:00,#N/A,520,673,9887,111,0,117,27,3,0,1,871,250,120,60.1,102,27
146,09.02.21 00:00,#N/A,520,673,9887,111,0,118,27,3,0,1,871,250,120,60.1,102,27
147,09.02.21 02:00,#N/A,520,673,9885,112,0,118,27,3,0,1,874,250,120,60,102,27
148,09.02.21 04:00,#N/A,520,673,9885,112,0,118,27,3,0,1,874,250,120,60,102,27
149,09.02.21 06:00,#N/A,520,673,9884,112,0,118,27,3,0,1,874,250,120,60.2,102,27
150,09.02.21 08:00,#N/A,520,672,9882,112,0,119,27,3,0,1,874,250,120,60.3,102,27
151,09.02.21 10:00,#N/A,519,672,9881,112,0,119,27,3,0,1,874,250,120,60.5,102,27
152,09.02.21 12:00,#N/A,519,672,9880,113,0,119,27,3,0,1,874,250,120,60.2,102,27
153,09.02.21 14:00,#N/A,519,672,9879,113,0,119,27,3,0,1,874,250,120,60,102,27
154,09.02.21 16:00,#N/A,519,672,9879,113,0,119,27,3,0,1,874,250,120,59.9,102,27
155,09.02.21 18:00,#N/A,519,672,9878,113,0,120,27,3,0,1,874,250,120,59.9,102,28
156,09.02.21 20:00,#N/A,519,672,9878,113,0,120,27,3,0,1,874,250,120,59.8,102,28
157,09.02.21 22:00,#N/A,519,672,9877,113,0,120,27,3,0,1,874,250,120,59.7,102,28
158,09.03.21 00:00,#N/A,519,672,9877,113,0,120,27,3,0,1,874,250,120,59.8,102,27
159,09.03.21 02:00,#N/A,519,672,9877,113,0,120,27,3,0,1,878,250,120,60,102,27
160,09.03.21 04:00,#N/A,519,672,9876,113,0,120,27,3,0,1,881,250,120,60.2,102,27
161,09.03.21 06:00,#N/A,519,672,9874,114,0,120,27,3,0,1,884,250,120,60.4,102,27
162,09.03.21 08:00,#N/A,519,672,9874,114,0,120,27,3,0,1,888,250,120,60.3,102,27
163,09.03.21 10:00,#N/A,519,672,9873,114,0,121,27,3,0,1,888,250,120,60,102,27
164,09.03.21 12:00,#N/A,519,672,9872,114,0,121,27,3,0,1,888,250,120,59.9,102,27
165,09.03.21 14:00,#N/A,519,672,9871,114,0,121,27,3,0,1,888,250,120,60,102,27
166,09.03.21 16:00,#N/A,519,672,9871,114,0,121,27,3,0,1,888,250,120,59.9,102,27
167,09.03.21 18:00,#N/A,519,672,9871,115,0,121,27,3,0,1,888,250,120,59.7,102,27
168,09.03.21 20:00,#N/A,519,672,9871,115,0,121,27,3,0,1,888,250,120,59.6,102,27
169,09.03.21 22:00,#N/A,519,672,9871,115,0,121,29,3,0,1,888,250,120,59.5,102,27
170,09.04.21 00:00,#N/A,519,672,9870,115,0,121,29,3,0,1,884,250,120,59.4,102,27
171,09.04.21 02:00,#N/A,519,672,9870,115,0,122,30,3,0,1,884,250,120,59.5,102,27
172,09.04.21 04:00,#N/A,519,672,9869,115,0,122,30,3,0,1,884,250,120,59.7,102,27
173,09.04.21 06:00,#N/A,519,672,9869,115,0,122,30,3,0,1,884,250,120,59.8,102,27
174,09.04.21 08:00,#N/A,519,671,9868,115,0,122,30,3,0,1,884,250,120,60,102,27
175,09.04.21 10:00,#N/A,519,671,9868,115,0,122,30,3,0,1,884,250,120,60,102,27
176,09.04.21 12:00,#N/A,519,671,9867,115,0,122,30,3,0,1,884,250,120,59.9,102,27
177,09.04.21 14:00,#N/A,519,671,9867,115,0,122,30,3,0,1,884,250,120,59.8,102,28
178,09.04.21 16:00,#N/A,519,671,9866,115,0,123,30,3,0,1,884,250,120,59.7,102,28
179,09.04.21 18:00,#N/A,519,671,9865,115,0,123,30,3,0,1,884,250,120,59.5,102,28
180,09.04.21 20:00,#N/A,519,671,9865,116,0,123,30,3,0,1,884,250,120,59.4,102,27
181,09.04.21 22:00,#N/A,519,671,9865,116,0,123,30,3,0,1,884,250,120,59.3,102,27
182,09.05.21 00:00,#N/A,519,671,9864,116,0,123,30,3,0,1,884,250,120,59.1,102,27
183,09.05.21 02:00,#N/A,519,671,9863,116,0,123,30,3,0,1,884,250,120,59.3,102,27
184,09.05.21 04:00,#N/A,519,671,9863,116,0,123,30,3,0,1,884,250,120,59.4,102,28
185,09.05.21 06:00,#N/A,519,671,9863,116,0,124,30,4,0,1,884,250,120,59.5,102,28
186,09.05.21 08:00,#N/A,519,671,9862,116,0,124,30,4,0,1,884,250,120,59.6,102,28
187,09.05.21 10:00,#N/A,519,671,9862,116,0,124,30,4,0,1,884,250,120,59.7,102,28
188,09.05.21 12:00,#N/A,519,671,9862,116,0,124,30,4,0,1,884,250,120,59.5,102,28
189,09.05.21 14:00,#N/A,519,671,9861,116,0,124,30,4,0,1,884,250,120,59.4,102,28
190,09.05.21 16:00,#N/A,519,671,9861,116,0,124,30,4,0,1,884,250,120,59.5,102,28
191,09.05.21 18:00,#N/A,519,671,9860,117,0,124,30,4,0,1,884,250,120,59.5,102,28
192,09.05.21 20:00,#N/A,519,671,9859,117,0,124,30,4,0,1,884,250,120,59.4,102,28
193,09.05.21 22:00,#N/A,519,671,9859,117,0,124,30,4,0,1,888,250,120,59.3,102,28
194,09.06.21 00:00,#N/A,519,671,9858,117,0,124,30,4,0,1,888,250,120,59.3,102,28
195,09.06.21 02:00,#N/A,519,671,9858,117,0,124,30,4,0,1,888,250,120,59.3,102,28
